Typ,Praefix,Zweck,Beispiel,Projektbezug
"Feature","feat:","Neue Funktion oder technische Erweiterung","feat: Docker-Image in GHCR veröffentlichen","Docker, GHCR, Kubernetes, GitOps"
"Fehlerkorrektur","fix:","Behebung eines technischen Fehlers oder fehlerhaften Zustands","fix: Fehler in der Kubernetes-Konfiguration beheben","ImagePull, Service, Probes, Secrets, Backup"
"Dokumentation","docs:","Dokumentation, Nachweise oder Projektergebnisse aktualisieren","docs: Release-Nachweis ergänzen","IHK-Dokumentation, Screenshots, Testnachweise"
"CI/CD","ci:","Änderungen an GitHub Actions, Build-, Test- oder Release-Workflows","ci: Security-Scan in Workflow integrieren","ci.yml, release.yml, Trivy, GHCR"
"Wartung","chore:","Technische Pflege ohne neue Fachfunktion","chore: Projektstruktur bereinigen","Repository-Struktur, Image-Tags, GitOps-Pflege"
"Test","test:","Kontrollierte Test- oder Fehlerzustände erzeugen","test: ungültigen Image-Tag für AP28 D02 setzen","AP28 DevOps-Fälle, AP29 Tests, AP30 Fehleranalyse"
"Revert","revert:","Gezieltes Zurücksetzen eines vorherigen Änderungenstands","revert: Prod-Promotion auf vorherigen Image-Stand zurücksetzen","GitOps-Rollback, Prod-Promotion"
"Regel","fachlich klein","Ein Commit enthält nur eine fachlich zusammenhängende Änderung","Keine Vermischung mehrerer unabhängiger Änderungen","Nachvollziehbarkeit und einfaches Rollback"
"Regel","deutsch","Commit-Nachrichten werden kurz, professionell und auf Deutsch formuliert","fix: korrekten Service-TargetPort wiederherstellen","Einheitliche Projektdokumentation"
"Regel","keine Secrets","Vor jedem Commit werden sensible Dateien kontrolliert","Keine .env, Tokens, Passwörter oder privaten Schlüssel committen","Security und Least Privilege"
"Regel","Prüfreihenfolge","Vor dem Commit werden git status und git diff geprüft","git status -> git diff -> git add -> git commit -> git push","Vermeidung unbeabsichtigter Änderungen"
"Regel","Branches","Änderungen werden in Feature-, Test- oder Fix-Branches umgesetzt und über Pull Requests nach main integriert","test/ap28-d10-liveness-fehlerhaft -> fix/ap28-d10-liveness-restore -> main","Stabiler Hauptbranch und nachvollziehbare Reviews"
"Regel","Rollback","Fehlerhafte oder unerwünschte Änderungen werden per Git-Revert oder gezieltem Fix-Commit zurückgesetzt","PR #37: Prod-Promotion zurückgesetzt","Reproduzierbare GitOps-Rollbacks"
