Branch_Typ,Namensschema,Zweck,Beispiel,Merge_Ziel,Regeln,Projektbezug
main,main,Stabiler Hauptbranch mit freigegebenem Projektstand,main,-,Direkte Änderungen vermeiden; Integration erfolgt über Pull Requests; main dient als nachvollziehbare Referenz für freigegebene Stände.,pacman-app und pacman-gitops
Feature,feature/<thema>,Umsetzung neuer Funktionen oder technischer Erweiterungen,feature/ap19-probes-security,main,Branch vom aktuellen main ableiten; nur fachlich zusammenhängende Änderungen; nach erfolgreicher Prüfung über Pull Request mergen.,"Kubernetes, Security, Monitoring, Backup, neue Funktionen"
Test,test/<arbeitspaket>-<testfall>,Kontrollierte Erzeugung reproduzierbarer Test- oder Fehlerzustände,test/ap28-d10-liveness-fehlerhaft,main oder zugehöriger Fix-Branch,Nur für gezielte Testzustände; Fehler bewusst reproduzieren; keine unnötigen Änderungen; Ergebnis dokumentieren.,"AP28 DevOps-Fälle, AP29 Tests, AP30 Fehleranalyse"
Fix,fix/<arbeitspaket>-<fehler>,Korrektur eines zuvor reproduzierten Fehlers oder einer fehlerhaften Konfiguration,fix/ap28-d10-liveness-restore,main,Ursache gezielt beheben; Änderung technisch nachtesten; anschließend Pull Request nach main.,"ImagePull, Service, Readiness, Liveness, Secrets, Backup"
Revert,revert/<thema>,Gezieltes Zurücksetzen einer bereits integrierten Änderung,revert/ap23-fehlerrelease,main,"Nur verwenden, wenn ein vorheriger Stand reproduzierbar wiederhergestellt werden soll; Revert nachvollziehbar dokumentieren.","GitOps-Rollback, fehlerhafte Releases"
Promotion,test/ap29-t28-promotion,Kontrollierte Promotion eines geprüften Dev-Image-Stands nach Prod,test/ap29-t28-promotion,main,Prod-Image nur auf einen bereits in Dev geprüften Commit-SHA setzen; Änderung per Pull Request integrieren.,T28 Promotion Dev nach Prod
Rollback,test/ap29-t29-rollback,Kontrolliertes Zurücksetzen einer Prod-Promotion,test/ap29-t29-rollback,main,Vorherigen funktionsfähigen Image-Stand wiederherstellen; keine direkte Clusteränderung; Git bleibt Sollzustand.,T29 GitOps-Rollback
Regel,Branch vom aktuellen main,Neue Branches basieren auf dem aktuellen stabilen Hauptstand,git switch main && git pull && git switch -c feature/<thema>,-,"Vor Branch-Erstellung main aktualisieren, damit unnötige Merge-Konflikte vermieden werden.",Allgemeine Git-Arbeitsweise
Regel,ein Thema pro Branch,Ein Branch enthält nur eine fachlich zusammenhängende Änderung,fix/ap28-d04-ingress-502,-,Keine Vermischung unabhängiger Änderungen oder Tests.,Nachvollziehbarkeit und Review
Regel,Pull Request,Änderungen werden vor Integration über einen Pull Request geprüft,"PR #20, PR #21, PR #36, PR #37",main,"PR-Beschreibung enthält Änderung, Grund, Validierung und Ziel; Merge erst nach erfolgreicher Prüfung.",GitHub Review- und Nachweisprozess
Regel,keine Secrets,"Branches dürfen keine Passwörter, Tokens, .env-Dateien oder privaten Schlüssel enthalten",mongodb-credentials nur extern erzeugen,-,Vor git add und Commit stets git status und git diff prüfen.,Security
Regel,Nachtest vor Merge,Fix-Branches werden erst nach erfolgreichem Nachtest integriert,fix/ap28-d11-secret-restore,main,"Technischen Sollzustand prüfen, z. B. HTTP 200, Pod Ready, Argo CD Synced/Healthy.",Fehlerbehebung und Qualitätssicherung
Regel,Branch aufräumen,Nach erfolgreichem Merge kann der Remote-/Arbeitsbranch gelöscht werden,Delete branch nach PR-Merge,-,Historie bleibt über Pull Request und Merge-Commit nachvollziehbar.,Repository-Hygiene
