Einstellung,Dev_Wert,Prod_Wert,Begruendung,Kustomize_Datei,Nachweis
"Namespace","pacman-dev","pacman-prod","Trennung von Entwicklungs- und Produktionsressourcen im selben Cluster","pacman-gitops/pacman-gitops/apps/pacman/overlays/dev/namespace.yaml | pacman-gitops/pacman-gitops/apps/pacman/overlays/prod/namespace.yaml","Kustomize-Rendering und Client-Dry-Run erfolgreich"
"Kustomize-Struktur","Gemeinsame Base mit Dev-Overlay","Gemeinsame Base mit Prod-Overlay","Gemeinsame Ressourcen werden zentral gepflegt; nur Umgebungsunterschiede liegen in den Overlays","pacman-gitops/pacman-gitops/apps/pacman/base/kustomization.yaml | pacman-gitops/pacman-gitops/apps/pacman/overlays/dev/kustomization.yaml | pacman-gitops/pacman-gitops/apps/pacman/overlays/prod/kustomization.yaml","kubectl kustomize für dev und prod erfolgreich"
"Pacman-Replikate","1","3","Dev benötigt wenige lokale Ressourcen; Prod erhält höhere Verfügbarkeit und Lastverteilung","Geplanter Replica-Patch in den jeweiligen Overlays","Planungswert AP15; technische Umsetzung und Test in AP16"
"Pacman CPU Request","50m","100m","Prod erhält eine höhere garantierte CPU-Zuteilung; Werte werden praktisch geprüft","Geplanter Ressourcen-Patch in den jeweiligen Overlays","Planungswert AP15; technische Umsetzung und Test in AP19"
"Pacman CPU Limit","250m","500m","Begrenzt den maximalen CPU-Verbrauch und schützt den lokalen Cluster","Geplanter Ressourcen-Patch in den jeweiligen Overlays","Planungswert AP15; technische Umsetzung und Test in AP19"
"Pacman RAM Request","64Mi","128Mi","Prod erhält eine höhere garantierte Speichermenge","Geplanter Ressourcen-Patch in den jeweiligen Overlays","Planungswert AP15; technische Umsetzung und Test in AP19"
"Pacman RAM Limit","256Mi","512Mi","Begrenzt den Speicherverbrauch; die Werte werden durch einen kontrollierten Ressourcentest geprüft","Geplanter Ressourcen-Patch in den jeweiligen Overlays","Planungswert AP15; technische Umsetzung und Test in AP19"
"Umgebungslabel","environment=dev","environment=prod","Ermöglicht die eindeutige Filterung und Zuordnung der Ressourcen zur Umgebung","pacman-gitops/pacman-gitops/apps/pacman/overlays/dev/kustomization.yaml | pacman-gitops/pacman-gitops/apps/pacman/overlays/prod/kustomization.yaml","Gerenderte Namespace-Labels geprüft"
"Instanzlabel","app.kubernetes.io/instance=pacman-dev","app.kubernetes.io/instance=pacman-prod","Unterscheidet die beiden Pacman-Installationen innerhalb des Clusters","pacman-gitops/pacman-gitops/apps/pacman/overlays/dev/namespace.yaml | pacman-gitops/pacman-gitops/apps/pacman/overlays/prod/namespace.yaml","Gerenderte Namespace-Labels geprüft"
"Anwendungslabel","app.kubernetes.io/part-of=pacman","app.kubernetes.io/part-of=pacman","Kennzeichnet alle Ressourcen als Bestandteil der Pacman-Lösung","pacman-gitops/pacman-gitops/apps/pacman/overlays/dev/namespace.yaml | pacman-gitops/pacman-gitops/apps/pacman/overlays/prod/namespace.yaml","Gerenderte Namespace-Labels geprüft"
"Komponentenlabel","frontend | database | backup","frontend | database | backup","Unterscheidet Pacman-Anwendung, MongoDB und Backup-Ressourcen","Spätere Workload-Manifeste in pacman-gitops/pacman-gitops/apps/pacman/base","Labelkonzept AP15; technische Umsetzung in den jeweiligen Folgearbeitspaketen"
"Versionslabel","Unveränderlicher Commit-SHA-Tag","Unveränderlicher freigegebener Commit-SHA-Tag","Ermöglicht die eindeutige Zuordnung zwischen Quellcode, Container-Image und Kubernetes-Workload","Späteres Deployment und Image-Patch","Labelkonzept AP15; konkrete Version entsteht im Release- und Promotionprozess"
"Verantwortungslabel","responsibility=devops","responsibility=devops","Dokumentiert den technischen Verantwortungsbereich der Ressourcen","pacman-gitops/pacman-gitops/apps/pacman/overlays/dev/namespace.yaml | pacman-gitops/pacman-gitops/apps/pacman/overlays/prod/namespace.yaml","Gerenderte Namespace-Labels geprüft"
