Arbeitspaket_ID,Arbeitspaket,Abhaengigkeit,Geplanter_Beginn,Geplantes_Ende,Geplanter_Aufwand_Stunden,Tatsaechlicher_Aufwand_Stunden,Status,Ergebnis,Abweichung,Begruendung,Nachweis
AP08,"Ausgangsmaterial sichern, Code analysieren und Anforderungen ableiten",-,2026-08-04,2026-08-04,8,,Erledigt,"M01: Ausgangslage, Codeanalyse, Risiken, Anforderungen und Prüfsummen dokumentiert.",Prüfsummen des aktuellen lokalen Bestands wurden nachträglich zum Prüfzeitpunkt erzeugt.,Die Original-Ausgangsarchive lagen für eine rückwirkende Prüfsumme nicht als verifizierter Projektbeginn-Nachweis vor; daher wurde der Prüfzeitpunkt transparent dokumentiert. Der tatsächliche Zeitaufwand wurde während der Umsetzung nicht separat belastbar erfasst; daher erfolgt keine nachträgliche Schätzung.,dokumentation/00_projektuebersicht.docx; dokumentation/01_codeanalyse_und_anforderungen.docx; daten/codeanalyse.csv; textdateien/ausgangsmaterial_pruefsummen.txt
AP09,"Eigenes Arbeitsgerät, Docker Desktop, Kubernetes und Werkzeuge vorbereiten",AP08,2026-08-05,2026-08-05,8,,Erledigt,"WSL 2, Docker Desktop, lokaler Kubernetes-Cluster und benötigte CLI-Werkzeuge als Arbeitsumgebung genutzt.",Keine belastbar erfasste Zeitabweichung vorhanden.,Tatsächliche Stunden wurden im Projektverlauf nicht separat protokolliert und werden daher nicht nachträglich erfunden. Der tatsächliche Zeitaufwand wurde während der Umsetzung nicht separat belastbar erfasst; daher erfolgt keine nachträgliche Schätzung.,dokumentation/02_architektur_und_repositories.docx; screenshots/02_arbeitsumgebung/
AP10,"GitHub Repositories, Branching und Zugriffskonzept",AP09,2026-08-06,2026-08-06,6,,Erledigt,"Zwei getrennte Repositories pacman-app und pacman-gitops, Branch-/PR-Strategie und Git-Historie umgesetzt.",Im Projektverlauf wurden deutlich mehr Pull Requests und Test-/Fix-Branches verwendet als ursprünglich minimal vorgesehen.,Fehler- und GitOps-Tests erforderten zusätzliche isolierte Test- und Fix-Branches zur nachvollziehbaren Reproduktion. Der tatsächliche Zeitaufwand wurde während der Umsetzung nicht separat belastbar erfasst; daher erfolgt keine nachträgliche Schätzung.,Git-Historien und Pull Requests in pacman-app und pacman-gitops; dokumentation/02_architektur_und_repositories.docx
AP11,Reproduzierbares Docker Image für Pacman,AP10,2026-08-07,2026-08-07,8,,Erledigt,"M02: Pacman-Image reproduzierbar gebaut; feste Basis node:16.19.0-bullseye-slim, npm ci und USER node nachgewiesen.",Zwischenzeitlich wurde node:22-alpine verwendet und anschließend auf die verbindlich vorgegebene Basisversion korrigiert.,"AP29 T03 zeigte, dass der Build technisch erfolgreich war, die Projektvorgabe für das Basisimage jedoch nicht erfüllt war; Korrektur über PR #7. Der tatsächliche Zeitaufwand wurde während der Umsetzung nicht separat belastbar erfasst; daher erfolgt keine nachträgliche Schätzung.",Commit 7e11c2b; PR #7; Docker-Build- und Non-Root-Nachweise
AP12,Lokaler Integrationsstack mit Docker Compose,AP11,2026-08-10,2026-08-10,8,,Erledigt,"M03: Lokale Pacman-/MongoDB-Umgebung über Docker Compose reproduzierbar gestartet, Healthchecks und Persistenz geprüft.",Keine wesentliche Planabweichung dokumentiert.,Compose ersetzte die historischen Einzelbefehle und ermöglichte reproduzierbare lokale Integrations- und Persistenztests. Der tatsächliche Zeitaufwand wurde während der Umsetzung nicht separat belastbar erfasst; daher erfolgt keine nachträgliche Schätzung.,compose.yaml; Tests T05-T08; screenshots/21_tests/
AP13,GitHub Actions CI Workflow,AP12,2026-08-11,2026-08-11,8,,Erledigt,"M04: CI-Workflow mit Checkout, npm ci, Tests, Docker-/Compose-Prüfungen und Build erfolgreich ausgeführt.",Mehrere kontrollierte Fehlerläufe wurden zusätzlich zur Positivprüfung durchgeführt.,Die Prüfungsanforderung verlangt nachvollziehbare fehlerhafte CI-Läufe; diese wurden über Testbranches und Nachtests dokumentiert. Der tatsächliche Zeitaufwand wurde während der Umsetzung nicht separat belastbar erfasst; daher erfolgt keine nachträgliche Schätzung.,pacman-app/.github/workflows/ci.yml; GitHub Actions Runs; daten/testprotokoll.csv
AP14,Release Workflow und GitHub Container Registry,AP13,2026-08-12,2026-08-13,9,,Erledigt,"M05: Release-Workflow, Security Scan, GHCR-Veröffentlichung, Commit-SHA-Tag und Digest-Nachweis umgesetzt.",Zusätzlicher Aufwand durch fehlgeschlagene Trivy-Security-Scans.,Der Release wurde bewusst durch das Security Gate bei HIGH/CRITICAL-Funden gestoppt; Ursache analysiert und Nachtest erfolgreich durchgeführt. Der tatsächliche Zeitaufwand wurde während der Umsetzung nicht separat belastbar erfasst; daher erfolgt keine nachträgliche Schätzung.,Fehler-Run 32476069886; erfolgreicher Release-Run 32584467096; dokumentation/04_github_actions_und_registry.docx
AP15,"Kubernetes Zielarchitektur, Namespaces und Kustomize",AP14,2026-08-14,2026-08-14,8,,Erledigt,M06: Gemeinsame Kustomize-Base sowie getrennte Dev-/Prod-Overlays und Namespaces umgesetzt und validiert.,Keine belastbar erfasste Zeitabweichung vorhanden.,Dev und Prod werden aus gemeinsamer Base mit kontrollierten Overlay-Unterschieden gerendert. Der tatsächliche Zeitaufwand wurde während der Umsetzung nicht separat belastbar erfasst; daher erfolgt keine nachträgliche Schätzung.,pacman-gitops/apps/pacman/base/; pacman-gitops/apps/pacman/overlays/dev/; pacman-gitops/apps/pacman/overlays/prod/
AP16,"Pacman Deployment, Service und Image Pull",AP15,2026-08-17,2026-08-17,6,,Erledigt,"Deployment, ClusterIP-Service Port 80→8080, unveränderlicher Image-Tag und RollingUpdate-Betrieb umgesetzt.",Zusätzliche kontrollierte ImagePull- und Service-Fehlerfälle wurden getestet.,Negativtests dienten der Fehleranalyse und führten zu zusätzlichen Test-/Fix-Commits. Der tatsächliche Zeitaufwand wurde während der Umsetzung nicht separat belastbar erfasst; daher erfolgt keine nachträgliche Schätzung.,AP28 D02/D04; Tests T16 und F03/F04; pacman-gitops/apps/pacman/base/deployment.yaml
AP17,"MongoDB StatefulSet, Service, Persistenz und Initialisierung",AP15,2026-08-17,2026-08-18,8,,Erledigt,M07: MongoDB als StatefulSet mit Headless Service und persistentem PVC; Datenpersistenz nach Pod-Neuerstellung geprüft.,Zusätzliche Fehleranalyse bei schreibgeschütztem Datenmount.,AP28 D05 wurde kontrolliert reproduziert und anschließend der beschreibbare Datenmount wiederhergestellt. Der tatsächliche Zeitaufwand wurde während der Umsetzung nicht separat belastbar erfasst; daher erfolgt keine nachträgliche Schätzung.,StatefulSet/PVC-Nachweise; AP28 D05; Tests T17/T24
