Datei_oder_Bereich,Aktueller_Zweck,Technische_Feststellung,Risiko_oder_Schwachstelle,Zielzustand,Geplante_Massnahme,Nachweis
"Dockerfile","Erstellung des Container-Images der Pacman-Anwendung","Die ursprüngliche Anwendung verwendete das veraltete Node.js-Basisimage node:boron.","Veraltete Laufzeitumgebung mit fehlenden Sicherheitsupdates und eingeschränkter Reproduzierbarkeit.","Fest versioniertes und im Projekt verbindlich verwendetes Basisimage node:16.19.0-bullseye-slim.","Dockerfile auf feste Node.js-Version umstellen und Build erneut validieren.","Dockerfile; Docker-Build; Git-Historie"
"Dockerfile / Benutzer","Festlegung des Laufzeitbenutzers im Container","Die ursprüngliche Containerkonfiguration führte die Anwendung ohne expliziten nicht privilegierten Benutzer aus.","Ein Prozess mit Root-Rechten erhöht bei einer Kompromittierung das Schadenspotenzial.","Pacman läuft mit dem nicht privilegierten Benutzer node.","USER node im Dockerfile konfigurieren und Runtime-Benutzer mit id prüfen.","Dockerfile; Container-Ausgabe uid=1000(node)"
"Dockerfile / Build-Kontext","Übernahme der Projektdateien in das Docker-Image","Im Ausgangszustand war keine geeignete .dockerignore vorhanden.","Unnötige Dateien, Git-Metadaten oder lokale Konfigurationsdateien können in den Build-Kontext gelangen.","Reduzierter und kontrollierter Docker-Build-Kontext.","Eine .dockerignore mit node_modules, .git, .github, Logs und .env-Dateien verwenden.",".dockerignore; Docker-Build"
"package.json / package-lock.json","Definition und reproduzierbare Installation der Node.js-Abhängigkeiten","Die Anwendung verwendet npm-Abhängigkeiten; für reproduzierbare Builds müssen package.json und package-lock.json konsistent sein.","npm install oder eine inkonsistente Lockdatei können unterschiedliche Paketstände und CI-Fehler verursachen.","Installation exakt anhand der Lockdatei mit npm ci.","package-lock.json versionieren, npm ci einsetzen und Lockdatei bei Dependency-Änderungen synchronisieren.","package.json; package-lock.json; npm ci"
"Node.js / Express","Bereitstellung der Pacman-Webanwendung über einen Express-Webserver","Die Anwendung wird über npm start bzw. node . gestartet und stellt HTTP-Funktionen auf Port 8080 bereit.","Fehlende Laufzeitprüfung kann dazu führen, dass ein gestarteter aber nicht funktionsfähiger Container unbemerkt bleibt.","Reproduzierbarer Start und technischer Healthcheck der Anwendung.","Healthcheck sowie HTTP-Smoke-Tests für Startseite und datenbankabhängigen Endpunkt einsetzen.","package.json; compose.yaml; HTTP-Tests"
"MongoDB","Persistente Speicherung von Highscores und Anwendungsdaten","Die Anwendung benötigt Host, Port, Datenbankname sowie Benutzername und Passwort für die MongoDB-Verbindung.","Fehlerhafte Zugangsdaten oder fehlende Persistenz führen zu Funktions- oder Datenverlust.","MongoDB mit persistenter Datenspeicherung und getrennt verwalteten Zugangsdaten.","Docker-Volume bzw. Kubernetes PVC einsetzen und Zugangsdaten über Secrets bereitstellen.","compose.yaml; StatefulSet; PVC; Secret-Referenzen"
"Historische Startskripte","Manueller Start von Pacman- und MongoDB-Containern","Mehrere Shell-Skripte und einzelne docker run-Befehle waren für Start und Stopp erforderlich.","Hoher manueller Aufwand, fehleranfällige Parameter und fehlende zentrale Definition der Umgebung.","Zentral definierte und reproduzierbare Multi-Container-Umgebung.","Historische Einzelbefehle durch Docker Compose und später Kubernetes ersetzen.","compose.yaml; docker compose up; docker compose ps"
"Historische Stoppskripte","Manuelles Stoppen und Entfernen einzelner Container","Container wurden über docker kill und docker rm separat verwaltet.","Manuelle Betriebsabläufe sind schlecht reproduzierbar und erhöhen das Bedienfehler-Risiko.","Deklarative Verwaltung des Container-Lebenszyklus.","docker compose down sowie Kubernetes-Controller für den Lebenszyklus verwenden.","Docker-Compose- und Kubernetes-Nachweise"
"Git / Versionsverwaltung","Nachvollziehbare Verwaltung von Anwendungs- und Infrastrukturänderungen","Im modernisierten Projekt werden Anwendung und GitOps-Konfiguration getrennt in pacman-app und pacman-gitops versioniert.","Ohne strukturierte Versionsverwaltung sind Änderungen, Rollbacks und Verantwortlichkeiten schwer nachvollziehbar.","Getrennte Git-Repositories mit main, Feature-/Test-/Fix-Branches und Pull Requests.","Git/GitHub verwenden, Änderungen in fachlich abgegrenzten Commits durchführen und über Pull Requests integrieren.","Git-Historie; Pull Requests; Commit-SHAs"
"CI/CD","Automatisierte Prüfung und Bereitstellung von Änderungen","Im Ausgangszustand existierte keine durchgängige automatisierte Build- und Testpipeline.","Fehler werden spät erkannt; Builds und Releases sind manuell und nicht reproduzierbar.","Automatisierte CI- und Release-Workflows mit definierten Quality Gates.","GitHub Actions für Checkout, npm ci, Tests, Docker Build, Security Scan und Release einsetzen.","GitHub-Actions-Workflow und Workflow-Runs"
"Container Registry","Zentrale Speicherung und Versionierung der Docker-Images","Im Ausgangszustand war keine zentrale Container Registry in den Bereitstellungsprozess integriert.","Images sind ohne zentrale Registry schwer reproduzierbar und eindeutig einer Quellcode-Version zuzuordnen.","Versionierte Images in der GitHub Container Registry.","Images automatisiert nach GHCR pushen und mit Commit-SHA taggen.","GHCR; Image-Tag; Image-Digest; Release-Workflow"
"Kubernetes","Orchestrierung der containerisierten Anwendung","Die ursprüngliche Docker-Umgebung bot keine automatische Orchestrierung, Skalierung oder Selbstheilung.","Ausfälle und Skalierung müssen ohne Orchestrator manuell behandelt werden.","Deklarative Bereitstellung mit Deployment, Service, Ingress, StatefulSet, PVC und Probes.","Kubernetes-Manifeste mit Kustomize strukturieren und technisch validieren.","Kubernetes-Manifeste; kubectl; Kustomize"
