Nr,Befehl,Zweck,Risiko,Erwartete_Ausgabe
1,"kubectl config current-context","Aktiven Kubernetes-Kontext vor jeder Aktion prüfen.","Gering (reiner Lesezugriff, keine Zustandsänderung).","Kontextname, z. B. docker-desktop."
2,"kubectl config use-context <context>","Aktiven Kubernetes-Kontext wechseln.","Hoch: nachfolgende Befehle wirken auf einem anderen Cluster; falscher Kontext kann versehentlich Prod treffen.","Switched to context ""<context>""."
3,"kubectl get nodes","Node-Status und Erreichbarkeit des Clusters prüfen.","Gering (Lesezugriff).","Node-Liste mit STATUS Ready."
4,"kubectl get namespaces","Vorhandensein der erforderlichen Namespaces prüfen.","Gering (Lesezugriff).","Liste inkl. pacman-dev, pacman-prod, monitoring, argocd."
5,"kubectl get pods -n pacman-dev -o wide","Pod-Status in Dev prüfen.","Gering (Lesezugriff).","Pod-Liste mit STATUS Running/Completed."
6,"kubectl get pods -n pacman-prod -o wide","Pod-Status in Prod prüfen.","Gering (Lesezugriff).","Pod-Liste mit STATUS Running, 3/3 Ready bei Pacman."
7,"kubectl get deployment pacman -n pacman-prod","Soll-/Ist-Replikate des Prod-Deployments prüfen.","Gering (Lesezugriff).","DESIRED 3, READY 3, AVAILABLE 3."
8,"kubectl rollout status deployment/pacman -n pacman-prod --timeout=180s","Laufenden Rollout kontrolliert abwarten.","Gering: blockiert nur, ändert keinen Zustand.","""deployment ""pacman"" successfully rolled out""."
9,"kubectl rollout restart deployment/pacman -n pacman-prod","Kontrollierten Neustart aller Pods über RollingUpdate auslösen.","Mittel: kurzzeitige Kapazitätsreduktion während des Rollouts, kein Totalausfall bei mehreren Replikaten.","""deployment.apps/pacman restarted""."
10,"kubectl rollout undo deployment/pacman -n pacman-prod","Deployment im Notfall auf die vorherige ReplicaSet-Version zurücksetzen.","Hoch: überschreibt den aktuellen Image-Stand außerhalb von GitOps; Argo CD erkennt danach OutOfSync und kann den Rollback wieder rückgängig machen. Nur als Notfallmaßnahme, regulärer Rollback erfolgt über Git-Revert.","""deployment.apps/pacman rolled back""."
11,"kubectl scale deployment pacman -n pacman-prod --replicas=3","Replikatanzahl manuell setzen.","Mittel: überschreibt kurzfristig den von Git/Kustomize verwalteten Sollzustand und wird von Argo CD wieder synchronisiert.","""deployment.apps/pacman scaled""."
12,"kubectl get hpa -n pacman-prod","Autoscaling-Status und aktuelle CPU-Auslastung prüfen.","Gering (Lesezugriff).","REFERENCE, TARGETS (z. B. cpu: 5%/60%), MINPODS, MAXPODS, REPLICAS."
13,"kubectl top pods -n pacman-prod","Ressourcenverbrauch (CPU/Memory) der Pods prüfen.","Gering (Lesezugriff); benötigt laufenden metrics-server.","Tabelle mit CPU(cores) und MEMORY(bytes) je Pod."
14,"kubectl logs -n pacman-prod <pod> -c pacman --tail=100","Aktuelle Anwendungslogs eines Containers einsehen.","Gering (Lesezugriff); Logs können bei fehlerhafter Anwendungslogik sensible Daten enthalten.","Letzte 100 Log-Zeilen des Containers."
