Test_ID,Datum,Bereich,Umgebung,Ziel,Voraussetzung,Testdaten,Schritte,Erwartetes_Ergebnis,Tatsaechliches_Ergebnis,Status,Workflow_Run_oder_Commit,Nachweisdatei,Fehler_ID,Nachtest_Datum,Nachtest_Ergebnis
T01,2026-08-17,"Code, Git und Docker Build",pacman-app / Git,Definierten Git-Ausgangsstand und Prüfsummen der relevanten Build-Dateien nachweisen.,Repository pacman-app vorhanden; main ausgecheckt.,Dockerfile; package-lock.json; Commit 183fa6e06182984f2c975dca828aa8168d089481,"Branch, Commit und git status prüfen; SHA256 von Dockerfile und package-lock.json bilden.",main ist nachvollziehbar; Dateien besitzen reproduzierbare Prüfsummen.,main und origin/main waren synchron; Commit 183fa6e wurde angezeigt; SHA256-Prüfsummen für Dockerfile und package-lock.json wurden ausgegeben.,Bestanden,183fa6e06182984f2c975dca828aa8168d089481,screenshots/21_tests/T01_git_pruefsummen.png,,,
T02,2026-08-17,"Code, Git und Docker Build",pacman-app / Node.js,Reproduzierbare Installation über package-lock.json mit npm ci prüfen.,package.json und package-lock.json vorhanden.,Node.js v18.19.1; npm 9.2.0; package-lock.json,Node-/npm-Version und Lockdatei prüfen; npm ci ausführen.,npm ci beendet sich ohne Fehler und verändert den Git-Stand nicht unerwartet.,npm ci installierte 321 Pakete; Lockdatei war vorhanden; Git-Stand blieb nachvollziehbar.,Bestanden,main,screenshots/21_tests/T02_npm_ci_lockdatei.png,,,
T03,2026-08-21,"Code, Git und Docker Build",pacman-app / Docker / GitHub,Verbindliches Docker-Basisimage korrigieren und Build/CI auf dem finalen main-Stand nachweisen.,Dockerfile vorhanden; ursprünglicher Teststand verwendete node:22-alpine.,node:16.19.0-bullseye-slim; Branch fix/ap29-t03-basisimage; Commit 7e11c2b,Basisimage korrigieren; Docker Build nachtesten; Commit/Push; PR #7; Merge; CI auf main prüfen.,Docker Build und CI sind erfolgreich; main enthält das verbindliche Basisimage.,Docker Build war erfolgreich; PR #7 wurde gemergt; finaler main-Stand zeigte FROM node:16.19.0-bullseye-slim; CI-Pipeline war erfolgreich.,Bestanden,7e11c2b; Merge df55361; PR #7,screenshots/21_tests/T03_final_main_nachweis.png,,,
T04,2026-08-21,"Code, Git und Docker Build",pacman-app / Docker,Nicht privilegierten Laufzeitbenutzer des Pacman-Images prüfen.,Pacman-Image aus dem korrigierten Dockerfile gebaut.,Dockerfile USER node; Image pacman-app,Dockerfile USER prüfen; ConfiguredUser aus Image ermitteln; id im Container ausführen.,Container läuft nicht als root.,Dockerfile enthält USER node; Image meldete ConfiguredUser=node; Runtime-UID/GID waren 1000(node).,Bestanden,main,screenshots/21_tests/T04_nonroot_user.png,,,
T05,2026-08-21,Docker Compose und Daten,lokale Docker-Compose-Umgebung,Pacman und MongoDB reproduzierbar über Docker Compose starten.,"compose.yaml, Dockerfile und lokales MongoDB-Volume vorhanden.",Services pacman und mongodb,docker compose up -d; anschließend docker compose ps.,Beide Services starten; MongoDB wird healthy; Pacman startet und erreicht anschließend healthy.,MongoDB und Pacman wurden gestartet; Compose zeigte MongoDB healthy und Pacman im Start-/Healthy-Übergang.,Bestanden,lokaler Compose-Test,screenshots/21_tests/T05_compose_start.png,,,
T06,2026-08-21,Docker Compose und Daten,lokale Docker-Compose-Umgebung,Healthchecks beider Compose-Services prüfen.,Compose-Stack läuft.,pacman-app-mongodb-1; pacman-app-pacman-1,docker compose ps; docker inspect auf .State.Health.Status für beide Container.,MongoDB und Pacman melden healthy.,MongoDB=healthy und Pacman=healthy wurden explizit ausgegeben.,Bestanden,lokaler Compose-Test,screenshots/21_tests/T06_compose_health.png,,,
T07,2026-08-21,Docker Compose und Daten,lokale Docker-Compose-Umgebung,HTTP-Funktion der Startseite und des datenbankabhängigen Highscore-Endpunkts prüfen.,Compose-Stack healthy; Port 8080 veröffentlicht.,GET /; GET /highscores/list,HTTP-Aufrufe ausführen und Statuscode/Zeit prüfen; Compose-Status kontrollieren.,Beide Endpunkte liefern HTTP 200; Services bleiben healthy.,Startseite HTTP 200; Highscores HTTP 200; beide Compose-Container healthy.,Bestanden,lokaler Compose-Test,screenshots/21_tests/T07_compose_http.png,,,
T08,2026-08-21,Docker Compose und Daten,lokale Docker-Compose-Umgebung / MongoDB,Persistenz eines Testdatensatzes über Container-Neuerstellung hinweg nachweisen.,MongoDB nutzt benanntes Volume pacman-app_mongodb_data.,Datensatz _id=AP29-T08-NACHTEST; name=Persistenz-Nachtest; score=2908,Testdatensatz anlegen; Datensatz lesen; MongoDB-Container stoppen und entfernen; Volume prüfen; Container neu erstellen; Datensatz erneut lesen.,Volume bleibt bestehen und derselbe Testdatensatz ist nach Container-Neuerstellung weiterhin vorhanden.,Volume pacman-app_mongodb_data blieb vorhanden; der Datensatz AP29-T08-NACHTEST wurde nach Neuerstellung erneut vollständig gelesen.,Bestanden,lokaler Compose-Test,screenshots/21_tests/T08_persistenz_nachweis_final.png,,,
T09,2026-08-22,GitHub Actions und GHCR,GitHub Actions / pacman-app,CI nach Merge/Push auf main erfolgreich nachweisen.,Änderung wurde nach main gemergt.,GitHub Actions CI Pipeline; main,Workflow-Liste und Run-Zusammenfassung nach Push/Merge prüfen.,Build and Test endet erfolgreich.,GitHub Actions zeigte Status Success; Job Build and Test war grün.,Bestanden,Run 32476069762,screenshots/21_tests/T09_post_merge_ci_push.png,,,
T10,2026-08-23,GitHub Actions und GHCR,GitHub Actions / pacman-app,Negativtest für inkonsistente Lockdatei und anschließende Korrektur prüfen.,Branch test/ap29-t10-lockfile-fehler vorhanden.,Fehler-Commit 86c8301; Fix-Commit 5d53e73,Lockdatei absichtlich inkonsistent machen; CI ausführen; Lockdatei korrigieren; CI/Nachtest erneut ausführen.,Fehlerzustand wird erkannt; nach Synchronisierung der Lockdatei läuft der Nachtest erfolgreich.,Fehler- und Fix-Commits sind vorhanden; Lockdatei-Inkonsistenz wurde korrigiert.,Bestanden,86c8301; 5d53e73; Run 32631566037,Nachweisdatei noch nicht separat benannt; Git-/Workflow-Nachweis im AP29-Arbeitslauf,F01,2026-08-26,npm ci nach Korrektur Exit-Code 0
