Fall_ID,Datum,Geschaeftsausloeser,Meldung,Auswirkung,Umgebung,Prioritaet,Erste_Hypothese,Pruefschritte,Befund,Ursache,Massnahme,Git_Commit_oder_Run,Ergebnis,Nachtest,Nachweis
D01,2026-08-18,Dependency-Änderung im Anwendungscode; CI-Gate für Pull Request #6.,GitHub Actions CI schlägt nach einer Dependency-Änderung fehl.,Der Pull Request war nicht freigabefähig; der reproduzierbare Build war blockiert.,GitHub Actions / pacman-app,Hoch,package.json und package-lock.json sind nach der Dependency-Änderung nicht konsistent.,PR-Status und Checks prüfen; Dependency-Dateien vergleichen; Lockdatei korrigieren; CI erneut ausführen.,PR #6 zeigte zunächst einen fehlgeschlagenen CI-Check. Nach der Korrektur meldete gh pr checks 6 --watch 'All checks were successful'.,Lockdatei war nach der Dependency-Änderung nicht synchron.,package-lock.json synchronisiert; CI erneut ausgeführt; PR erst nach erfolgreichem Nachtest gemergt.,PR #6; Fix 86c9f59; Merge 183fa6e,CI erfolgreich; Pull Request gemergt; main sauber.,"1 successful, 0 failing; git status: working tree clean.",D01_01_ci_fehlgeschlagen.png | D01_02_ci_nachtest_erfolgreich.png | D01_03_nachtest_merge_erfolgreich.png
D02,2026-08-18,GitOps-Deployment referenzierte einen nicht vorhandenen GHCR-Image-Tag.,GHCR Image kann im Cluster nicht geladen werden.,Neue Pacman-Version konnte nicht gestartet werden; Deployment blieb im Fehlerzustand.,pacman-dev / Kubernetes / GHCR / Argo CD,Hoch,Der im Dev-Overlay eingetragene Image-Tag existiert nicht in GHCR.,"Deployment-Image, GitOps-kustomization.yaml, Pod-Status und Kubernetes-Events prüfen.",Image ghcr.io/isangare-ux/pacman-app:ap28-d02-image-existiert-nicht führte zu ErrImagePull/ImagePullBackOff; Registry meldete 'not found'.,Nicht vorhandener GHCR-Image-Tag im GitOps-Dev-Overlay.,Auf gültigen unveränderlichen Commit-SHA-Tag 183fa6e06182984f2c975dca828aa8168d089481 zurückgesetzt.,PR #17; Fix 03561ce; Merge 12c8dae,Pacman-Pod läuft wieder mit gültigem Image; Argo CD Synced/Healthy.,Deployment- und Pod-Image zeigen den gültigen SHA-Tag; Pod Ready/Running.,D02_ImagePullBackOff_nicht_vorhandenes_Image.png | D02_03_fix_gemergt_argocd_noch_progressing.png | D02_04_nachtest_argocd_healthy_pod_running.png
D03,2026-08-18,Kontrollierter Probe-Test zur Überprüfung der Betriebsbereitschaft.,"Pacman-Pod ist Running, aber nicht Ready.","Der Container läuft, wird aber wegen fehlender Readiness nicht für regulären Service-Traffic verwendet.",pacman-dev / Kubernetes,Hoch,Der konfigurierte Readiness-Pfad ist ungültig.,"Pod-Status, Deployment-Probes, kubectl describe pod und Events prüfen.",Pod war 0/1 Running; Readiness-Probe auf /ap28-d03-readiness-fehler lieferte wiederholt HTTP 404.,Fehlerhafter Readiness-Probe-Pfad.,Readiness-Pfad auf /highscores/list zurückgesetzt.,Fehler-Commit 3dcf950; Fix-Commit 98afd8c,Argo CD Synced/Healthy; Readiness-Pfad wieder /highscores/list.,Korrigierter Readiness-Pfad und gesunder Argo-CD-Zustand nachgewiesen.,D03_01_running_aber_nicht_ready.png | D03_02_pod_running_aber_nicht_ready.png | D03_03_readiness_probe_404.png | D03_04_nachtest_ready_healthy.png
D04,2026-08-17,Kontrollierte Service-Konfigurationsänderung zur Prüfung der Ingress-Fehlerdiagnose.,Ingress liefert 502 Bad Gateway.,Pacman ist über den vorgesehenen Ingress nicht erreichbar.,pacman-dev / Ingress / Service,Hoch,Der Service zeigt auf einen falschen Container-Port.,"Service Port/TargetPort, EndpointSlice, Ingress-Backend, Git-Sollzustand und curl prüfen.",Service Port 80 zeigte auf TargetPort 9999; EndpointSlice/Ingress verwendeten 9999; curl lieferte HTTP 502.,Falscher Service targetPort 9999 statt 8080.,targetPort im GitOps-Sollzustand auf 8080 korrigiert.,Fehler-Revision c84358c675c83ba12886fe33f6f64552a8ca120e; Nachtest-Revision 282ecf2e79bf8e074e17974459a7f9a54836a57b,Service und EndpointSlice zeigen auf 8080; Ingress liefert HTTP 200.,Argo CD Synced/Healthy; HTTP Status 200.,D04_02_targetport_9999_argocd_synced.png | D04_03_ingress_502_bad_gateway.png | D04_04_rootcause_targetport_9999.png | D04_05_nachtest_http_200_healthy.png
D05,2026-08-17,Kontrollierter Neustart-/Persistenztest der MongoDB.,MongoDB Pod startet nach Neustart nicht.,MongoDB ist nicht verfügbar; datenbankabhängige Pacman-Funktionen sind beeinträchtigt.,pacman-dev / MongoDB StatefulSet / PVC,Kritisch,Das Datenvolume ist nicht beschreibbar.,"Pod, PVC, VolumeMounts und MongoDB-Logs prüfen.",mongodb-0 war 0/1 CrashLoopBackOff; /data/db readOnly=true; Log: Unable to create/open /data/db/mongod.lock (Read-only file system); exitCode 100.,MongoDB-Datenvolume /data/db war fälschlich read-only gemountet.,Read-only-Einstellung des Datenmounts im GitOps-Sollzustand entfernt.,Fehler-Commit dca37fe; Fix-Commit dbe2b93; Merge-PR #22/#23,MongoDB 1/1 Running; PVC Bound; D05-Fehlermeldungen nicht mehr vorhanden.,Argo CD Synced/Healthy; MongoDB Running; /data/db wieder beschreibbar.,D05_01_mongodb_startfehler_readonly_mount.png | D05_03_finaler_nachtest_fehler_behoben.png
D06,2026-08-18,Manuelle Clusteränderung außerhalb des GitOps-Prozesses zur Drift-Prüfung.,Argo CD zeigt OutOfSync nach manueller Clusteränderung.,"Cluster-Istzustand weicht vom versionierten Git-Sollzustand ab; GitOps-Nachvollziehbarkeit ist verletzt, Anwendung bleibt Healthy.",pacman-dev / Argo CD / Kubernetes,Mittel,Direkte Änderung eines von Git verwalteten Labels verursacht Drift.,Deployment-Label direkt ändern; Argo-CD-Status und Diff prüfen; anschließend Git-Sollzustand wiederherstellen.,Argo CD OutOfSync/Healthy; Deployment/pacman OutOfSync; Diff: environment=dev-manual-drift (Live) gegenüber environment=dev (Git).,Direkte kubectl-Änderung eines deklarativ verwalteten Deployment-Labels.,Git-Sollzustand über Argo CD wiederhergestellt; keine dauerhafte manuelle Reparatur verwendet.,"Argo-CD-Revision im Fehlernachweis 2b28803; kein neuer Git-Commit nötig, da Git korrekt blieb.",Deployment-Label wieder environment=dev; Argo CD pacman-dev Synced/Healthy.,"Deployment-Label environment=dev bestätigt; Argo CD pacman-dev Synced/Healthy; Pacman-Pod Running, Ready=true und 0 Restarts.",D06_01_ArgoCD_OutOfSync_Healthy.png | D06_02_ArgoCD_Deployment_Diff.png | D06_02_gitops_sollzustand_wiederhergestellt.png
D07,2026-08-18,Kapazitäts- und Lasttest zur Funktionsprüfung der horizontalen Autoskalierung.,HPA skaliert trotz Last nicht.,Bei einem echten Fehler könnten Lastspitzen nicht automatisch durch zusätzliche Replikate abgefangen werden.,pacman-dev / HPA / metrics-server,Mittel,"metrics-server, CPU-Requests, HPA-Zielwert oder erzeugte Last verhindern die Skalierung.",kubectl get hpa; kubectl describe hpa; CPU-Metrik und HPA-Events prüfen.,"Im Fehlerzustand zeigte kubectl get hpa TARGETS cpu: 7%/1000% und REPLICAS 1. kubectl describe hpa bestätigte 7% (7m) / 1000%, 1 current / 1 desired sowie AbleToScale=True und ScalingActive=True. Damit waren gültige Metriken vorhanden, obwohl keine Skalierung erfolgte.",Bewusst unrealistisch hoher HPA-CPU-Zielwert averageUtilization=1000.,CPU-Zielwert im GitOps-Sollzustand wieder auf averageUtilization=60 zurückgesetzt und die HPA-Funktion erneut unter Last geprüft.,PR #25 / PR #26,Nach dem Rückbau lag das HPA-Ziel wieder bei 60 %. Die HPA-Events belegen SuccessfulRescale bis New size: 3 sowie anschließendes kontrolliertes Zurückskalieren.,"Zielwert 60 %, gültige CPU-Metrik und SuccessfulRescale-Ereignisse bis New size: 3 nachgewiesen.",D07_01_hpa_skaliert_trotz_last_nicht.png | D07_02_hpa_nachtest_erfolgreich.png
D08,2026-08-18,Kontrollierte Produktionsfreigabe zur Prüfung von Fehlererkennung und Rollback im GitOps-Releasefluss.,Prod Rollout enthält fehlerhaftes Image.,"Neue Prod-Replik wurde zwar gestartet, blieb aber 0/1 Ready; Argo CD war Synced, Health Progressing.",pacman-prod / Kubernetes / Argo CD / GHCR,Kritisch,"Die neu ausgerollte Image-Version ist lauffähig, liefert aber auf dem datenbankabhängigen Readiness-Endpunkt einen Fehler.","Deployment, neue/alte Pods, Events, Readiness-Probe, Image-Tag und Argo-CD-Health prüfen; anschließend auf vorherigen Image-Digest zurückrollen.","Neue Replik pacman-57689c644b-gqjnx war 0/1 Running. Image ghcr.io/isangare-ux/pacman-app:6f0072394d8cf0f93559f4e6ed6de3eddfdcbbf2 wurde erfolgreich gepullt, Readiness-Probe lieferte HTTP 500; Argo CD Synced/Progressing.","Fehlerhafte neue Image-Version bzw. deren Laufzeitverhalten; kein ImagePull-Fehler, da das Image erfolgreich geladen und gestartet wurde.",Rollback auf den vorherigen funktionsfähigen Prod-Image-Digest.,Fehler-Image-Tag 6f0072394d8cf0f93559f4e6ed6de3eddfdcbbf2; Fehler-Digest sha256:b36c3483845a3766a3e2a11e64b7e7c066f5d54cf7cf5210f0d3021921362127; Rollback per git revert 1b41fb9,Prod Deployment wieder 3/3; drei Pacman-Pods 1/1 Running; Argo CD Synced/Healthy; Root-Endpunkt und /highscores/list lieferten HTTP 200.,Alle drei Pods verwendeten wieder den vorherigen Prod-Digest sha256:8a30554bf682a9a326f1227ec0e3978eab03b982bbe41e0d13ab1aad21d379f6.,D08_01_prod_rollout_fehlerbild_gesamt.png | D08_03_rollback_erfolgreich.png
D09,2026-08-18,Betriebsanforderung: regelmäßige MongoDB-Datensicherung muss zuverlässig funktionieren.,Backup CronJob ist fehlgeschlagen.,Der Test-Backup-Job wurde nicht erfolgreich abgeschlossen; Wiederherstellbarkeit wäre bei dauerhaftem Fehler gefährdet.,pacman-prod / MongoDB Backup Job / Argo CD,Hoch,"Job-Konfiguration, Datenbankzugriff, Secret, Speicherziel oder Exit-Code verursachen den Fehlschlag.",Job-Status und Events prüfen; Job beschreiben; Pod-Logs lesen; anschließend korrigierten Backup-Testjob ausführen.,Der Wiederholungstest mongodb-backup-manual-test3-1787122616 erreichte Failed mit 0/1 Completions. Die effektive Job-Umgebung enthielt MONGO_HOST=mongodb-wrong-host; mongodump verwendete ${MONGO_HOST}. Kubernetes meldete BackoffLimitExceeded.,Bewusst falscher MongoDB-Service-Hostname MONGO_HOST=mongodb-wrong-host im Dev-Overlay des Backup-CronJobs.,MONGO_HOST über Git/GitOps wieder auf mongodb gesetzt und anschließend einen neuen Backup-Nachtestjob ausgeführt.,Fehler-Commit 374dbfe; Fix-Commit a3c4118; PR #29/#31,"Nachtestjob mongodb-backup-d09-nachtest Complete 1/1; Pod Completed, Phase Succeeded, Exit-Code 0. Backup /backup/pacman-20260818-095847.archive.gz wurde erfolgreich erstellt.",CronJob später mit Last Successful 2026-08-19T07:35:40Z; Argo CD Synced/Healthy.,D09_01_backup_cronjob_wrong_host_fehlernachweis.png | D09_02_backup_wrong_host_rueckbau_gitvergleich_erfolgreich.png | D09_03_argocd_nachtest_synced_healthy.png
D10,2026-08-18,Monitoring meldet wiederholte Neustarts eines Pacman-Containers.,Prometheus Alert meldet wiederholte Neustarts.,Container wurde wiederholt durch die fehlerhafte Liveness-Probe beendet und neu gestartet; Anwendung war zeitweise instabil.,pacman-dev / Kubernetes / Prometheus / Argo CD,Hoch,Fehlerhafter Liveness-Pfad verursacht die Neustarts.,"Pod describe, Liveness-Pfad, Restart Count, Last State, Events und Prometheus-Alert korrelieren; anschließend Liveness-Pfad zurücksetzen.","Liveness-Pfad /d10-test-ungueltiger-liveness-pfad. Last State Terminated, Reason Error, Exit Code 137, Restart Count 6. Events: Liveness probe failed HTTP 404 und 'Container pacman failed liveness probe, will be restarted'. Prometheus-Alert wurde als firing dokumentiert.",Kontrolliert ungültiger Liveness-Probe-Pfad im Dev-Overlay.,Liveness-Pfad auf / zurückgesetzt und neuer stabiler Pacman-Pod ausgerollt.,Fehlerfall PR #32; Rückbau PR #33,"Neuer Pacman-Pod 1/1 Running, Restart Count 0; Liveness=/, Readiness=/highscores/list; Argo CD Synced/Healthy.",Nach dem Rückbau trat kein weiterer Restart-Alarm auf; stabiler Betriebszustand nachgewiesen.,D10_01_liveness_restart_fehler.png | D10_02_argocd_synced_degraded.png | D10_03_prometheus_alert_firing.png | D10_04_liveness_monitoring_nachtest_erfolgreich.png
