Ressource_ID,Kind,Name,Namespace,Datei,Zweck,Abhaengigkeit,Datenhaltung,Sicherheitsbezug,Dev_Wert,Prod_Wert,Test_ID
K01,Namespace,pacman-dev,pacman-dev,pacman-gitops/apps/pacman/overlays/dev/namespace.yaml,Trennung der Dev-Umgebung im selben Cluster,keine,nein,"Label environment=dev",pacman-dev,n/a,T-K01
K02,Namespace,pacman-prod,pacman-prod,pacman-gitops/apps/pacman/overlays/prod/namespace.yaml,Trennung der Prod-Umgebung im selben Cluster,keine,nein,"Label environment=prod",n/a,pacman-prod,T-K02
K03,Deployment,pacman,pacman-dev / pacman-prod,pacman-gitops/apps/pacman/base/deployment.yaml,Betrieb der Pacman-Anwendung,Service pacman; ConfigMap pacman-config; Secret mongodb-credentials; ServiceAccount pacman,nein,"runAsNonRoot; runAsUser 1000; seccompProfile RuntimeDefault; allowPrivilegeEscalation false; readOnlyRootFilesystem true; Capabilities drop ALL",replicas 1,replicas 3,T16
K04,Service,pacman,pacman-dev / pacman-prod,pacman-gitops/apps/pacman/base/service.yaml,ClusterIP-Zugriff auf die Anwendung Port 80 -> 8080,Deployment pacman (Selector),nein,keine Host-Exposition (ClusterIP),Port 80->8080,Port 80->8080,T-K04
K05,ServiceAccount,pacman,pacman-dev / pacman-prod,pacman-gitops/apps/pacman/base/serviceaccount.yaml,Eigene Kubernetes-Identitaet der Anwendung statt default-SA,Deployment pacman (serviceAccountName),nein,kein automatischer API-Zugriff benoetigt,identisch,identisch,T-K05
K06,StatefulSet,mongodb,pacman-dev / pacman-prod,pacman-gitops/apps/pacman/base/mongodb-statefulset.yaml,Betrieb der MongoDB-Datenbank mit stabiler Identitaet,Headless-Service mongodb; ConfigMap mongodb-init; Secret mongodb-credentials; PVC mongodb-data,ja (VolumeClaimTemplate),"runAsNonRoot; runAsUser 999; fsGroup 999; seccompProfile RuntimeDefault; allowPrivilegeEscalation false; Capabilities drop ALL",replicas 1,replicas 1,T-K06
K07,Service,mongodb (headless),pacman-dev / pacman-prod,pacman-gitops/apps/pacman/base/mongodb-service.yaml,Stabiler DNS-Name mongodb-0.mongodb fuer das StatefulSet,StatefulSet mongodb,nein,clusterIP: None; kein externer Zugriff,identisch,identisch,T-K07
K08,ConfigMap,pacman-config,pacman-dev / pacman-prod,pacman-gitops/apps/pacman/base/configmap.yaml,Nicht-sensible Anwendungskonfiguration (PORT; MONGO_SERVICE_HOST; MY_MONGO_PORT; MONGO_DATABASE; MONGO_USE_SSL),Deployment pacman (envFrom/valueFrom),nein,enthaelt keine Zugangsdaten,identisch,identisch,T-K08
K09,ConfigMap,mongodb-init,pacman-dev / pacman-prod,pacman-gitops/apps/pacman/base/mongodb-init-configmap.yaml,Initialisierungsskript zur Anlage des dedizierten App-Benutzers,StatefulSet mongodb (Volume /docker-entrypoint-initdb.d),nein,liest Zugangsdaten ausschliesslich aus Umgebungsvariablen; keine Klartextwerte,identisch,identisch,T-K09
K10,Secret,mongodb-credentials,pacman-dev / pacman-prod,pacman-gitops/apps/pacman/base/secret.example.yaml (nur Vorlage); real erzeugt durch pacman-gitops/scripts/create-local-secrets.sh,Root- und App-Zugangsdaten fuer MongoDB,StatefulSet mongodb; Deployment pacman,nein,"nicht in Kustomize/Git eingebunden; secret.example.yaml enthaelt nur Platzhalter (CHANGE_ME_...)",separat pro Namespace erzeugt,separat pro Namespace erzeugt,T-K10
