Name,Typ,Namespace,Schluessel,Zweck,Vertraulich,Quelle,Git_Status,Mount_oder_Env,Rotation,Neustart_Erforderlich,Nachweis
pacman-config,ConfigMap,pacman-dev / pacman-prod,PORT,Anwendungsport im Container (8080),nein,base/configmap.yaml,in Git versioniert,Env (valueFrom configMapKeyRef),nicht vorgesehen (statischer Wert),ja (Pod-Neustart noetig),kubectl get configmap pacman-config -n pacman-dev -o yaml
pacman-config,ConfigMap,pacman-dev / pacman-prod,MONGO_SERVICE_HOST,DNS-Name des MongoDB-Headless-Service,nein,base/configmap.yaml,in Git versioniert,Env (valueFrom configMapKeyRef),nicht vorgesehen (statischer Wert),ja,kubectl get configmap pacman-config -n pacman-dev -o yaml
pacman-config,ConfigMap,pacman-dev / pacman-prod,MY_MONGO_PORT,MongoDB-Port (27017),nein,base/configmap.yaml,in Git versioniert,Env (valueFrom configMapKeyRef),nicht vorgesehen (statischer Wert),ja,kubectl get configmap pacman-config -n pacman-dev -o yaml
pacman-config,ConfigMap,pacman-dev / pacman-prod,MONGO_DATABASE,Name der Anwendungsdatenbank (pacman),nein,base/configmap.yaml,in Git versioniert,Env (valueFrom configMapKeyRef),nicht vorgesehen (statischer Wert),ja,kubectl get configmap pacman-config -n pacman-dev -o yaml
pacman-config,ConfigMap,pacman-dev / pacman-prod,MONGO_USE_SSL,Kennzeichnet fehlende TLS-Terminierung (false),nein,base/configmap.yaml,in Git versioniert,Env (valueFrom configMapKeyRef),nicht vorgesehen (statischer Wert),ja,kubectl get configmap pacman-config -n pacman-dev -o yaml
mongodb-init,ConfigMap,pacman-dev / pacman-prod,01-create-pacman-user.js,Initialisierungsskript zur Anlage des dedizierten App-Datenbankbenutzers; liest Zugangsdaten ausschliesslich aus Umgebungsvariablen,nein (Skript selbst enthaelt keine Klartextwerte),base/mongodb-init-configmap.yaml,in Git versioniert,Volume-Mount (/docker-entrypoint-initdb.d; readOnly),nicht vorgesehen (Skript aendert sich nicht),nein (nur beim ersten Start von MongoDB relevant),kubectl get configmap mongodb-init -n pacman-dev -o yaml
mongodb-credentials,Secret,pacman-dev / pacman-prod,root-username,MongoDB-Root-Benutzername (MONGO_INITDB_ROOT_USERNAME),ja,pacman-gitops/scripts/create-local-secrets.sh (interaktiv; verdeckte Eingabe),NICHT in Git (nur secret.example.yaml als Platzhalter-Vorlage),Env (valueFrom secretKeyRef),manuell ueber create-local-secrets.sh --force,ja (StatefulSet-Neustart fuer Root-Aenderung),AP28 D11: Fehlrotation erkannt und ueber Commit cd71e2c korrigiert
mongodb-credentials,Secret,pacman-dev / pacman-prod,root-password,MongoDB-Root-Kennwort,ja,pacman-gitops/scripts/create-local-secrets.sh (interaktiv; verdeckte Eingabe),NICHT in Git,Env (valueFrom secretKeyRef),manuell ueber create-local-secrets.sh --force,ja,AP28 D11
mongodb-credentials,Secret,pacman-dev / pacman-prod,app-username,Dedizierter Anwendungsbenutzer fuer die Datenbank pacman,ja,pacman-gitops/scripts/create-local-secrets.sh (interaktiv; verdeckte Eingabe),NICHT in Git,Env (valueFrom secretKeyRef) - sowohl in deployment.yaml (MONGO_AUTH_USER) als auch mongodb-statefulset.yaml (MONGO_APP_USERNAME),manuell ueber create-local-secrets.sh --force,ja (Deployment- und StatefulSet-Neustart),AP28 D11
mongodb-credentials,Secret,pacman-dev / pacman-prod,app-password,Kennwort des dedizierten Anwendungsbenutzers,ja,pacman-gitops/scripts/create-local-secrets.sh (interaktiv; verdeckte Eingabe),NICHT in Git,Env (valueFrom secretKeyRef) - MONGO_AUTH_PWD (Pacman) / MONGO_APP_PASSWORD (MongoDB-Init),manuell ueber create-local-secrets.sh --force,ja,AP28 D11
secret.example.yaml,Secret (Vorlage; nicht in Kustomize eingebunden),n/a,root-username; root-password; app-username; app-password,Dokumentierte Vorlage fuer das reale Secret-Schema,nein (nur Platzhalter CHANGE_ME_...),base/secret.example.yaml,in Git versioniert (bewusst nur als Vorlage; enthaelt keine echten Werte),n/a (wird nicht deployt),n/a,n/a,grep CHANGE_ME apps/pacman/base/secret.example.yaml
