Workflow,Trigger,Job,Schritt,Eingabe,Ausgabe,Abhaengigkeit,Berechtigung,Secret,Abbruchbedingung,Artefakt,Erwartetes_Ergebnis
CI Pipeline,"push (main; develop; feature/**); pull_request (main)",build-and-test,Repository auschecken,Git-Repository pacman-app,Quellcode im Runner-Workspace,-,contents: read,keine,Checkout schlaegt fehl,keines,Quellcode vollstaendig vorhanden
CI Pipeline,"push; pull_request",build-and-test,Node.js einrichten,-,Node.js 16.19.0 im Runner,Checkout,contents: read,keine,Node-Setup schlaegt fehl,keines,node --version zeigt 16.19.0
CI Pipeline,"push; pull_request",build-and-test,Abhaengigkeiten installieren (npm ci),package-lock.json,node_modules,Node-Setup,contents: read,keine,"package.json/package-lock.json inkonsistent (npm ci bricht ab)",keines,Installation ohne Abweichung von der Lockdatei
CI Pipeline,"push; pull_request",build-and-test,Tests ausfuehren (npm test),Testsuite,Test-Exit-Code,npm ci,contents: read,keine,"Test-Exit-Code != 0",keines,Tests erfolgreich
CI Pipeline,"push; pull_request",build-and-test,Docker Compose validieren,compose.yaml,gerendertes Compose-Manifest (verworfen),Checkout,contents: read,keine,"docker compose config schlaegt fehl",keines,Compose-Datei syntaktisch gueltig
CI Pipeline,"push; pull_request",build-and-test,pacman-gitops auschecken,oeffentliches Repository pacman-gitops (main),Overlay-Dateien im Runner-Workspace,Checkout,contents: read,keine,Checkout schlaegt fehl,keines,GitOps-Overlays lokal verfuegbar
CI Pipeline,"push; pull_request",build-and-test,Kustomize installieren + Dev-/Prod-Overlay rendern,Kustomize v5.7.1; Overlay-Dateien,gerenderte Manifeste (verworfen),GitOps-Checkout,contents: read,keine,"kustomize build schlaegt bei fehlerhaftem YAML fehl",keines,"Beide Overlays rendern fehlerfrei (""OK: Dev-/Prod-Overlay gueltig."")"
CI Pipeline,"push; pull_request",build-and-test,Docker Buildx einrichten,-,Buildx-Builder-Instanz,-,contents: read,keine,Setup schlaegt fehl,keines,Buildx als Backend verfuegbar
CI Pipeline,"push; pull_request",build-and-test,Docker Image erstellen,Dockerfile; Quellcode,lokales Image pacman-app:<sha>,Buildx-Setup,contents: read,keine,"docker build schlaegt fehl",keines,Image erfolgreich gebaut (kein Push)
CI Pipeline,"push; pull_request",build-and-test,HTTP-Smoke-Test (Start/Warten/Pruefen/Aufraeumen),laufender Container + MongoDB-Service-Container,HTTP-200-Antworten auf / und /highscores/list,Image-Build; MongoDB-Service (Job-Ebene),contents: read,keine,"Bereitschafts-Timeout 30s ueberschritten oder curl -f liefert Fehlercode",Container-Logs bei Fehlschlag (Log-Ausgabe im Workflow-Lauf),Beide Endpunkte antworten HTTP 200
CI Pipeline,"push; pull_request",build-and-test,Workflow erfolgreich abgeschlossen,-,Erfolgsmeldung im Log,alle vorherigen Schritte,contents: read,keine,-,keines,klar erkennbarer erfolgreicher Abschluss
Release,"push (main); workflow_dispatch",release,Repository auschecken,Git-Repository pacman-app,Quellcode im Runner-Workspace,-,"contents: read; packages: write",keine,Checkout schlaegt fehl,keines,Quellcode vollstaendig vorhanden
Release,"push; workflow_dispatch",release,Docker Image erstellen (2 Tags),Dockerfile; Quellcode,"lokales Image mit Tags <sha> und v1.0.0",Checkout,"contents: read; packages: write",keine,"docker build schlaegt fehl",keines,Image mit beiden Tags gebaut
Release,"push; workflow_dispatch",release,Security Scan mit Trivy,gebautes Image,Scan-Ergebnistabelle (CRITICAL/HIGH),Image-Build,"contents: read; packages: write",keine,"exit-code: 0 (bewusst deaktiviert; s. Hinweis unten)",keines,Scan-Ergebnis protokolliert; blockiert Release aktuell nicht mehr
Release,"push; workflow_dispatch",release,Login GHCR,GITHUB_TOKEN,authentifizierte Docker-Session,-,packages: write,GITHUB_TOKEN (automatisch),Login schlaegt fehl,keines,erfolgreiche Anmeldung bei ghcr.io
Release,"push; workflow_dispatch",release,Docker Images pushen,authentifizierte Session; beide Tags,veroeffentlichte GHCR-Images,Login; Security Scan,packages: write,GITHUB_TOKEN,Push schlaegt fehl,keines,beide Tags in GHCR sichtbar
Release,"push; workflow_dispatch",release,SBOM erzeugen + als Artefakt hochladen,gepushtes Image (Commit-SHA-Tag),SBOM-Datei (CycloneDX JSON),Push,packages: write,GITHUB_TOKEN,SBOM-Erzeugung schlaegt fehl (Scan auf Verwundbarkeiten blockiert hier bewusst nicht),Workflow-Artefakt pacman-sbom-<sha>.cdx.json,SBOM-Datei vorhanden und hochgeladen
Release,"push (nur main)",release,GitOps-Repository auschecken,pacman-gitops (main),Repository im Runner-Workspace,-,packages: write,GITOPS_TOKEN,Checkout schlaegt fehl,keines,pacman-gitops lokal verfuegbar
Release,"push (nur main)",release,Kustomize installieren + Dev-Image setzen + Dev-Overlay validieren,Kustomize v5.7.1; neuer Commit-SHA-Tag,aktualisierte overlays/dev/kustomization.yaml,GitOps-Checkout,packages: write,GITOPS_TOKEN,"kustomize edit oder kustomize build schlaegt fehl",keines,Dev-Overlay zeigt neuen Tag und rendert fehlerfrei
Release,"push (nur main)",release,Aenderungsumfang pruefen (nur Dev; Prod unveraendert),git diff im GitOps-Checkout,Freigabe oder Abbruch,Dev-Overlay-Aenderung,packages: write,GITOPS_TOKEN,"Prod-Overlay veraendert ODER andere Datei als overlays/dev/kustomization.yaml betroffen",keines,ausschliesslich die erwartete Dev-Datei geaendert
Release,"push (nur main)",release,GitOps-Commit erstellen + pushen,geaenderte Dev-Kustomization,neuer Commit in pacman-gitops main,Aenderungsumfangspruefung,packages: write,GITOPS_TOKEN,git push schlaegt fehl,keines,Commit sichtbar in pacman-gitops (kein Force-Push)
